population,params,params_ci_5,params_ci_95,discretized,discretized_ci_5,discretized_ci_95
Pongo_pygmaeus,"{'S_d': -1017.6330260475193, 'b': 0.29760027178920084, 'p_b': 0.09701445307124162, 'S_b': 34.59442169009139, 'eps': 0.0, 'h': 0.5}","{'S_d': -2725.91132036707, 'b': 0.13602794362527218, 'p_b': 0.0, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -197.6695700499222, 'b': 0.6994962051882043, 'p_b': 0.2849512521757782, 'S_b': 100.0, 'eps': 0.0, 'h': 0.5}",[0.4364557  0.18932317 0.10111307 0.17609361 0.09106475 0.00594971],[0.37729516 0.13927242 0.05312912 0.01353758 0.         0.        ],[0.48505019 0.26546734 0.12973351 0.27826509 0.28523688 0.02549317]
Macaca_cyclopis,"{'S_d': -99032.14332771517, 'b': 0.1726778455035054, 'p_b': 0.16972839549450536, 'S_b': 0.00010000005654479373, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.1243341115997801, 'p_b': 0.08307103055293949, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.22692079559369344, 'p_b': 0.23670703411194183, 'S_b': 0.00010000000695159935, 'eps': 0.0, 'h': 0.5}",[0.61616425 0.06601626 0.0449966  0.1030945  0.1697284  0.        ],[0.5949876  0.05112283 0.03032415 0.04420308 0.08500191 0.        ],[0.63919766 0.08267343 0.06375161 0.21475457 0.23698059 0.        ]
Macaca_fuscata,"{'S_d': -16960.49701588931, 'b': 5.990091817259908, 'p_b': 0.29353390061030094, 'S_b': 0.12165182852795006, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.267809732953811, 'p_b': 0.25027136513189197, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -187.37639172561504, 'b': 10.0, 'p_b': 0.3118471856932747, 'S_b': 0.36448864319673474, 'eps': 0.0, 'h': 0.5}",[0.6608425  0.031096   0.00706603 0.00746157 0.29089554 0.00263836],"[6.00559951e-01 1.70219568e-04 1.39332990e-13 0.00000000e+00
 2.45596808e-01 0.00000000e+00]",[0.69600282 0.08872887 0.03610672 0.04101427 0.31306768 0.0176853 ]
Macaca_mulatta,"{'S_d': -18726.70483697151, 'b': 3.095149071004825, 'p_b': 0.19523424210330428, 'S_b': 1.0629178492094506, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.1218631180451155, 'p_b': 0.028660692683225308, 'S_b': 0.00011916808256009871, 'eps': 0.0, 'h': 0.5}","{'S_d': -174.57309259298523, 'b': 10.0, 'p_b': 0.27261461554135924, 'S_b': 5.8751990055273575, 'eps': 0.0, 'h': 0.5}",[0.63824381 0.08412413 0.02969188 0.05270594 0.17977951 0.01545473],"[5.93721330e-01 1.35686751e-02 5.20840038e-11 0.00000000e+00
 4.48899523e-03 0.00000000e+00]",[0.71728453 0.13501028 0.06843483 0.20232365 0.27343036 0.04575339]
Macaca_hecki,"{'S_d': -12394.860858796046, 'b': 7.839951978836198, 'p_b': 0.29687672583582964, 'S_b': 0.13184005256292422, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.30904160157884475, 'p_b': 0.27548878291004064, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -149.93846571720496, 'b': 10.0, 'p_b': 0.31439363482436217, 'S_b': 0.3605150137065804, 'eps': 0.0, 'h': 0.5}",[0.67012089 0.02890594 0.00224766 0.00184879 0.29297099 0.00390574],"[5.96973062e-01 6.10248633e-05 3.51940699e-14 0.00000000e+00
 2.64306791e-01 0.00000000e+00]",[0.70016276 0.12004086 0.01970251 0.01670057 0.31467997 0.02110143]
Macaca_leonina,"{'S_d': -99004.35645132065, 'b': 0.40791191725133863, 'p_b': 0.27232292706759487, 'S_b': 0.000100000000002527, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.24543195466500464, 'p_b': 0.24847100043201684, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.3954557331404502, 'p_b': 0.2911756449837805, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}",[0.65872936 0.03397708 0.01707523 0.0178954  0.27232293 0.        ],[0.64307997 0.02150096 0.00865298 0.00582621 0.24852117 0.        ],[0.67432024 0.04785387 0.02760489 0.03762518 0.29118274 0.        ]
Macaca_maura,"{'S_d': -25927.554797574743, 'b': 5.2619105830312485, 'p_b': 0.29927579426353096, 'S_b': 0.030263313835398587, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.24252977637055137, 'p_b': 0.2590022838599369, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -234.8386686992577, 'b': 10.0, 'p_b': 0.31712511678637206, 'S_b': 0.13377923035253578, 'eps': 0.0, 'h': 0.5}","[6.55915237e-01 2.66133721e-02 8.93477136e-03 9.26082527e-03
 2.99052339e-01 2.23455365e-04]","[6.06225083e-01 7.16744837e-05 4.29656311e-14 0.00000000e+00
 2.59080618e-01 0.00000000e+00]",[0.68875666 0.07004179 0.02858201 0.04072944 0.31717411 0.00146168]
Macaca_nemestrina,"{'S_d': -3385.931908747528, 'b': 7.879837564533341, 'p_b': 0.24585279842173985, 'S_b': 0.4442662715206167, 'eps': 0.0, 'h': 0.5}","{'S_d': -3605.5199424792195, 'b': 0.414458327077304, 'p_b': 0.21735881592724757, 'S_b': 0.22036244694523244, 'eps': 0.0, 'h': 0.5}","{'S_d': -180.78045160449383, 'b': 10.0, 'p_b': 0.26175844592760733, 'S_b': 0.7277054172037205, 'eps': 0.0, 'h': 0.5}",[0.70880777 0.03636602 0.0042197  0.00475371 0.22202291 0.02382989],"[6.34400541e-01 1.88273290e-03 2.83784107e-12 0.00000000e+00
 1.65698135e-01 2.84492651e-03]",[0.73839263 0.10966914 0.04376065 0.04187102 0.26058421 0.0570458 ]
Macaca_nigra,"{'S_d': -76538.79031262906, 'b': 0.18520381704890568, 'p_b': 0.13062285433998475, 'S_b': 0.03587388477006907, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.10030885957309639, 'p_b': 0.0, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -3385.03956959376, 'b': 0.3269250575874281, 'p_b': 0.24883243141394495, 'S_b': 0.00825962751739277, 'eps': 0.0, 'h': 0.5}","[5.82803903e-01 8.10549694e-02 5.49998922e-02 1.50518381e-01
 1.30279771e-01 3.43083374e-04]",[0.55741474 0.06529102 0.04124594 0.03504871 0.         0.        ],"[6.03554580e-01 1.12667194e-01 7.06043695e-02 2.70809161e-01
 2.54119500e-01 3.43083374e-04]"
Macaca_radiata,"{'S_d': -98060.13613511165, 'b': 0.1309331777922721, 'p_b': 0.12178217436096665, 'S_b': 0.00013436575174134678, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.09688672332966719, 'p_b': 0.0, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -98988.0241242289, 'b': 0.17089410416829903, 'p_b': 0.20933330933692135, 'S_b': 0.00010626925714796237, 'eps': 0.0, 'h': 0.5}",[0.57780057 0.0746795  0.05565079 0.17008696 0.12178217 0.        ],[0.55834747 0.06309896 0.04259559 0.08847509 0.         0.        ],[0.59686056 0.08747711 0.07015314 0.28248123 0.20992654 0.        ]
Macaca_silenus,"{'S_d': -63447.788201655814, 'b': 0.984411607448222, 'p_b': 0.1764893489241141, 'S_b': 0.0055182199023791, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.08337515531476376, 'p_b': 0.0, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -158.5765263920856, 'b': 10.0, 'p_b': 0.35985594101025575, 'S_b': 0.0015031630567095056, 'eps': 0.0, 'h': 0.5}",[0.52310357 0.08592179 0.05061648 0.16386881 0.17648935 0.        ],"[4.57849219e-01 5.75078688e-02 1.87786475e-09 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",[0.55732448 0.16415844 0.07697188 0.33306598 0.36119327 0.        ]
Macaca_tonkeana,"{'S_d': -29461.407138392708, 'b': 8.051264678047723, 'p_b': 0.29434639036489996, 'S_b': 0.29546405541372645, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.20844314025314564, 'p_b': 0.223002903633956, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -211.99511153024048, 'b': 10.0, 'p_b': 0.317804619411957, 'S_b': 0.690365368255151, 'eps': 0.0, 'h': 0.5}",[0.68358527 0.01230455 0.00374992 0.00601387 0.27773185 0.01661454],[0.62560067 0.         0.         0.         0.17725214 0.        ],[0.70764018 0.06106528 0.03871046 0.07037739 0.31781864 0.05395063]
Macaca_arctoides,"{'S_d': -24509.272846708373, 'b': 0.22639382612186104, 'p_b': 0.10643156016744344, 'S_b': 2.001082689342578, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.10258084698001865, 'p_b': 0.0, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -708.8331848487285, 'b': 0.4630050816724844, 'p_b': 0.24541006903203452, 'S_b': 0.007242208492853093, 'eps': 0.0, 'h': 0.5}","[5.60630392e-01 1.11843617e-01 6.70128422e-02 1.54081589e-01
 1.06405815e-01 2.57446863e-05]",[0.53206712 0.08568423 0.04648749 0.02569483 0.         0.        ],"[5.84522666e-01 1.56025038e-01 8.02106826e-02 2.61992242e-01
 2.45704960e-01 2.57446863e-05]"
Macaca_assamensis,"{'S_d': -3239.75083288039, 'b': 6.669132685930631, 'p_b': 0.2614159082605151, 'S_b': 1.4958089083100286, 'eps': 0.0, 'h': 0.5}","{'S_d': -3155.723308484906, 'b': 0.25574257706055503, 'p_b': 0.1370386116096516, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -125.10045330352318, 'b': 10.0, 'p_b': 0.2842978301055462, 'S_b': 1.004462181578975, 'eps': 0.0, 'h': 0.5}",[0.5852151  0.13228858 0.00852452 0.01255589 0.25852394 0.00289197],"[5.03564308e-01 5.58008549e-02 6.16651619e-10 0.00000000e+00
 8.88647760e-02 0.00000000e+00]",[0.66261813 0.2280952  0.06697074 0.1316814  0.28563337 0.01729762]
Macaca_leucogenys,"{'S_d': -5800.744403145958, 'b': 6.373210506643013, 'p_b': 0.22765202600044046, 'S_b': 0.4611458644586957, 'eps': 0.0, 'h': 0.5}","{'S_d': -28157.33535538967, 'b': 0.19718535922300395, 'p_b': 0.07806904444580257, 'S_b': 0.00010000000002917259, 'eps': 0.0, 'h': 0.5}","{'S_d': -157.96620305465387, 'b': 10.0, 'p_b': 0.25205827126328445, 'S_b': 1.8029368552759373, 'eps': 0.0, 'h': 0.5}",[0.685987   0.06673658 0.00785081 0.01177359 0.22059225 0.00705978],"[6.17634919e-01 9.62439227e-03 2.99510416e-11 0.00000000e+00
 3.42121667e-02 0.00000000e+00]",[0.74157297 0.13369026 0.05893192 0.1524036  0.25253026 0.03530902]
Papio_anubis,"{'S_d': -49899.87049765026, 'b': 8.471495062432133, 'p_b': 0.24689361210001926, 'S_b': 5.1518126918970415, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.15011472993346492, 'p_b': 0.08108761656296871, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -109.24422925195913, 'b': 10.0, 'p_b': 0.30175908964906717, 'S_b': 7.373116663191077, 'eps': 0.0, 'h': 0.5}",[0.66533408 0.06795435 0.00666451 0.01315344 0.1707132  0.07618041],[0.42994174 0.         0.         0.         0.00569074 0.        ],[0.75698402 0.53621683 0.05948705 0.16324613 0.29991036 0.17003299]
Papio_cynocephalus_anubishybrid,"{'S_d': -84754.52280176505, 'b': 1.1147636227397628, 'p_b': 0.23232963846776092, 'S_b': 0.00010000069351487509, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.18424732743194042, 'p_b': 0.19078782021962162, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -283.2255799615792, 'b': 10.0, 'p_b': 0.28705032138927794, 'S_b': 0.00010000000025053903, 'eps': 0.0, 'h': 0.5}",[0.64606855 0.04931774 0.02870457 0.04357949 0.23232964 0.        ],"[6.23771414e-01 3.00648710e-03 5.53534996e-12 0.00000000e+00
 1.90794735e-01 0.00000000e+00]",[0.70777254 0.06665446 0.0411775  0.07723987 0.28717513 0.        ]
Papio_cynocephalus_ssp,"{'S_d': -96990.60738657395, 'b': 0.3148534704405179, 'p_b': 0.22022469903279085, 'S_b': 0.00010000006347395708, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.17747783242090898, 'p_b': 0.1818135802481296, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.2563108933784594, 'p_b': 0.24966402056878845, 'S_b': 0.00010000001632862745, 'eps': 0.0, 'h': 0.5}",[0.63873441 0.05413844 0.03309766 0.0538048  0.2202247  0.        ],[0.62537317 0.04464455 0.02461632 0.03061286 0.18195027 0.        ],[0.65176634 0.06533616 0.04393317 0.0901628  0.25019447 0.        ]
Papio_hamadryas,"{'S_d': -100000.0, 'b': 0.19101244414679333, 'p_b': 0.22045680014884197, 'S_b': 0.0001, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.1426665537199104, 'p_b': 0.15653853844659443, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.2478357478966243, 'p_b': 0.26847655029985357, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}",[0.60724316 0.05850864 0.03823629 0.07555511 0.2204568  0.        ],[0.5861695  0.04503248 0.02545748 0.03310074 0.15751637 0.        ],[0.62827651 0.07378359 0.05415408 0.14937352 0.27214171 0.        ]
Papio_kindae,"{'S_d': -98191.94990551245, 'b': 0.2047485272777504, 'p_b': 0.1939233224806103, 'S_b': 0.00010000136823804496, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.1642096546915834, 'p_b': 0.1521620559332566, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.23951918245073514, 'p_b': 0.22746117535978375, 'S_b': 0.00010000000783047672, 'eps': 0.0, 'h': 0.5}",[0.64221309 0.05948068 0.03750572 0.06687718 0.19392332 0.        ],[0.6293003  0.04952816 0.02858584 0.03931924 0.15269202 0.        ],[0.65597378 0.07117583 0.04905618 0.1119244  0.22877864 0.        ]
Papio_ursinus,"{'S_d': -100000.0, 'b': 0.20068733031442992, 'p_b': 0.20245709076381307, 'S_b': 0.0001, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.1606254518866775, 'p_b': 0.15628083285112265, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.24285226188784617, 'p_b': 0.24000667687322078, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}",[0.6358585  0.05817979 0.03700506 0.06649955 0.20245709 0.        ],[0.62056343 0.04752359 0.02717865 0.03630014 0.15686802 0.        ],[0.65160204 0.0708418  0.04967135 0.11652011 0.24037586 0.        ]
Theropithecus_gelada,"{'S_d': -40670.40961381989, 'b': 0.10970866401237205, 'p_b': 0.00529214159260638, 'S_b': 0.008446460683848519, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.09371330277845703, 'p_b': 0.0, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -5754.1718980507385, 'b': 0.13162384758343132, 'p_b': 0.03877614192345031, 'S_b': 0.015275836991141205, 'eps': 0.0, 'h': 0.5}",[0.54232209 0.10103532 0.07829929 0.27305116 0.00529214 0.        ],[0.51313309 0.08318085 0.06593988 0.24145647 0.         0.        ],[0.56854093 0.12839941 0.09493672 0.28666563 0.06040079 0.        ]
Erythrocebus_patas,"{'S_d': -1288.278855000868, 'b': 9.423160536985058, 'p_b': 0.2846812922653647, 'S_b': 0.007276087581297318, 'eps': 0.0, 'h': 0.5}","{'S_d': -1976.3502861039829, 'b': 0.47718194763844246, 'p_b': 0.2683856061706446, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -127.16879880413585, 'b': 10.0, 'p_b': 0.29268691690970683, 'S_b': 0.03271384821897297, 'eps': 0.0, 'h': 0.5}","[6.08831706e-01 1.02205685e-01 2.13954334e-03 2.14177418e-03
 2.84671093e-01 1.01992778e-05]","[5.22853733e-01 3.49533479e-02 2.57796118e-10 0.00000000e+00
 2.68797104e-01 0.00000000e+00]","[6.75124742e-01 1.93000693e-01 3.00884748e-02 1.57115552e-02
 2.92760268e-01 1.01992778e-05]"
Rhinopithecus_bieti,"{'S_d': -100000.0, 'b': 9.514125348606065, 'p_b': 0.3757218770807865, 'S_b': 0.0075560796371076855, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 9.517497675388064, 'p_b': 0.3627098603071793, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 10.0, 'p_b': 0.3868266846875101, 'S_b': 0.05755056714236512, 'eps': 0.0, 'h': 0.5}","[6.20497603e-01 1.74416792e-03 9.31833747e-04 1.10451836e-03
 3.75675010e-01 4.68675273e-05]",[0.60684331 0.         0.         0.         0.36274092 0.        ],"[6.35019095e-01 2.44465641e-02 1.09225878e-02 8.81946893e-03
 3.87321282e-01 4.68675273e-05]"
Rhinopithecus_roxellana,"{'S_d': -100000.0, 'b': 10.0, 'p_b': 0.2956777783799499, 'S_b': 0.6756048526284174, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 10.0, 'p_b': 0.28956227082752956, 'S_b': 0.4700582637671358, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 10.0, 'p_b': 0.30262230065645, 'S_b': 0.8741112219757456, 'eps': 0.0, 'h': 0.5}",[0.70432222 0.         0.         0.         0.22958831 0.06608947],[0.69741763 0.         0.         0.         0.1985294  0.03580247],[0.71168002 0.         0.         0.         0.26861732 0.09398705]
Semnopithecus_hypoleucos,"{'S_d': -37508.0554808507, 'b': 1.3640236380112605, 'p_b': 0.17016145245006278, 'S_b': 0.0001289855102975411, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.10818495026633863, 'p_b': 0.008919859642016106, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -146.8283112078296, 'b': 10.0, 'p_b': 0.28189030247410507, 'S_b': 0.00010039327781956343, 'eps': 0.0, 'h': 0.5}",[0.59030965 0.10089008 0.04584955 0.09278926 0.17016145 0.        ],"[5.56050896e-01 7.29539103e-02 2.26819064e-09 0.00000000e+00
 9.14448030e-03 0.00000000e+00]",[0.61306317 0.15035335 0.0687167  0.24717656 0.28279629 0.        ]
Trachypithecus_francoisi,"{'S_d': -33654.58918870488, 'b': 3.5451553121661425, 'p_b': 0.3040011032174393, 'S_b': 1.0067768105988848, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.12015818016915886, 'p_b': 0.1679074319463865, 'S_b': 9.999999999999999e-05, 'eps': 0.0, 'h': 0.5}","{'S_d': -120.68493537038142, 'b': 10.0, 'p_b': 0.37089763196485737, 'S_b': 0.05430002097906193, 'eps': 0.0, 'h': 0.5}","[5.23806033e-01 9.45838343e-02 2.63430536e-02 5.12659763e-02
 3.03953326e-01 4.77769015e-05]","[4.30077764e-01 2.17735056e-02 1.23810517e-10 0.00000000e+00
 1.69330845e-01 0.00000000e+00]","[6.13629033e-01 2.27662051e-01 5.95224463e-02 1.77327883e-01
 3.70909052e-01 4.77769015e-05]"
