population,params,params_ci_5,params_ci_95,discretized,discretized_ci_5,discretized_ci_95
Pongo_pygmaeus,"{'S1': 0.30636377771974255, 'S2': 0.3198847208266424, 'S3': 0.24553393860308698, 'S4': 0.7956617776258555, 'S5': 0.508866404369664, 'eps': 0.0, 'h': 0.5}","{'S1': 0.14332326254401373, 'S2': 0.0, 'S3': 0.0, 'S4': 0.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.48777579931144727, 'S2': 0.5450207608069895, 'S3': 0.5342729629484179, 'S4': 1.0, 'S5': 1.0, 'eps': 0.0, 'h': 0.5}",[0.30636378 0.24259045 0.11865828 0.27632765 0.05318617 0.00287367],[0.14337381 0.         0.         0.         0.         0.        ],[0.49404404 0.46968025 0.2812246  0.38659713 0.23732345 0.01041557]
Macaca_cyclopis,"{'S1': 0.5568686657194714, 'S2': 0.12861671702311916, 'S3': 0.053872351696038524, 'S4': 0.9875840799090766, 'S5': 0.8503848630411227, 'eps': 0.0, 'h': 0.5}","{'S1': 0.4567347855891328, 'S2': 0.0, 'S3': 0.0, 'S4': 0.9082312742425561, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.6218531488588551, 'S2': 0.34339450487362566, 'S3': 0.15425315794164313, 'S4': 1.0, 'S5': 1.0, 'eps': 0.0, 'h': 0.5}","[5.56868666e-01 6.37178310e-02 2.12109044e-02 3.53763288e-01
 4.31877057e-03 1.20539993e-04]",[0.45700122 0.         0.         0.32503734 0.         0.        ],[0.62288367 0.18810285 0.06248786 0.37130554 0.03449141 0.00113673]
Macaca_fuscata,"{'S1': 0.5225764276143801, 'S2': 0.15994150473784546, 'S3': 0.022683760245501335, 'S4': 0.6907053548301144, 'S5': 0.9514545942197722, 'eps': 0.0, 'h': 0.5}","{'S1': 0.41492418718534113, 'S2': 0.0, 'S3': 0.0, 'S4': 0.3450840784379624, 'S5': 0.761392400271101, 'eps': 0.0, 'h': 0.5}","{'S1': 0.5978750361033744, 'S2': 0.376093449795263, 'S3': 0.20192724814166274, 'S4': 0.9710045977824037, 'S5': 1.0, 'eps': 0.0, 'h': 0.5}",[0.52257643 0.08387699 0.0098226  0.26909925 0.11379955 0.00082519],[0.41610944 0.         0.         0.11065537 0.00762311 0.        ],[0.59823128 0.238073   0.10237177 0.39248314 0.25240671 0.00610974]
Macaca_mulatta,"{'S1': 0.47784279736392415, 'S2': 0.3160896052055306, 'S3': 0.1385206705701351, 'S4': 0.668800756444406, 'S5': 0.7861689812110818, 'eps': 0.0, 'h': 0.5}","{'S1': 0.3990813790292989, 'S2': 0.0, 'S3': 0.0, 'S4': 0.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.5954436664110963, 'S2': 0.47809656196803174, 'S3': 0.42233087710576134, 'S4': 0.987423686375138, 'S5': 1.0, 'eps': 0.0, 'h': 0.5}",[0.4778428  0.17432245 0.05260377 0.20695888 0.08644909 0.00182302],[0.39908786 0.         0.         0.         0.         0.        ],[0.59831702 0.28865826 0.17140512 0.32319873 0.22630734 0.00835678]
Macaca_hecki,"{'S1': 0.48757869900199724, 'S2': 0.31751625518097515, 'S3': 1.2253618464926064e-05, 'S4': 0.5424629174561876, 'S5': 0.9890947012155421, 'eps': 0.0, 'h': 0.5}","{'S1': 0.40691332975075967, 'S2': 0.07179060292690966, 'S3': 0.0, 'S4': 0.2484767396475344, 'S5': 0.9905052640112006, 'eps': 0.0, 'h': 0.5}","{'S1': 0.606972123210356, 'S2': 0.4617786495657954, 'S3': 0.0, 'S4': 0.7993785482042451, 'S5': 1.0, 'eps': 0.0, 'h': 0.5}","[4.87578699e-01 1.69283735e-01 4.65140815e-06 1.88332047e-01
 1.54621966e-01 1.78902041e-04]",[0.40791424 0.02849182 0.         0.08252866 0.07245798 0.        ],"[6.10051218e-01 2.84830565e-01 4.65140815e-06 3.05289038e-01
 2.48165021e-01 1.70400416e-03]"
Macaca_leonina,"{'S1': 0.6261154888877928, 'S2': 0.000565132444829831, 'S3': 0.0, 'S4': 0.8714953162320951, 'S5': 1.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.6183699496417155, 'S2': 0.0, 'S3': 0.0, 'S4': 0.7747270383096234, 'S5': 1.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.6341995848294826, 'S2': 0.0, 'S3': 0.0, 'S4': 0.9679509597305314, 'S5': 1.0, 'eps': 0.0, 'h': 0.5}","[6.26115489e-01 2.18373472e-04 0.00000000e+00 3.25876163e-01
 4.77899744e-02 0.00000000e+00]",[0.61841035 0.         0.         0.28378113 0.01214671 0.        ],"[6.34887830e-01 2.18373472e-04 0.00000000e+00 3.67067574e-01
 8.51284310e-02 0.00000000e+00]"
Macaca_maura,"{'S1': 0.5313828212835573, 'S2': 0.1751526693049821, 'S3': 0.002423336036027857, 'S4': 0.6935330242979777, 'S5': 0.9460213374466017, 'eps': 0.0, 'h': 0.5}","{'S1': 0.44323168810287333, 'S2': 0.0, 'S3': 0.0, 'S4': 0.4290320452491103, 'S5': 0.7050528857514834, 'eps': 0.0, 'h': 0.5}","{'S1': 0.6074851016434302, 'S2': 0.35057817598630936, 'S3': 0.0031302942843050197, 'S4': 0.9533276636664618, 'S5': 1.0, 'eps': 0.0, 'h': 0.5}",[0.53138282 0.0884932  0.00094538 0.26465217 0.11379749 0.00072893],[0.444117   0.         0.         0.15780439 0.01352658 0.        ],[0.60750447 0.21130817 0.00290156 0.37930321 0.20951225 0.00670188]
Macaca_nemestrina,"{'S1': 0.49957058504185164, 'S2': 0.3467442614863612, 'S3': 0.025418350447883792, 'S4': 0.6026941300670017, 'S5': 0.9736538427370033, 'eps': 0.0, 'h': 0.5}","{'S1': 0.42977927857229403, 'S2': 0.16021781207008143, 'S3': 0.0, 'S4': 0.3441022956330752, 'S5': 0.9565919563796388, 'eps': 0.0, 'h': 0.5}","{'S1': 0.5943339755546788, 'S2': 0.4753258041449739, 'S3': 0.2556756860549648, 'S4': 0.901651719461473, 'S5': 1.0, 'eps': 0.0, 'h': 0.5}",[0.49957059 0.17883095 0.00923891 0.19095375 0.12074087 0.00066493],[0.43026418 0.06861945 0.         0.10363045 0.03330358 0.        ],[0.61728747 0.2781896  0.09582871 0.30376801 0.1986744  0.00449428]
Macaca_nigra,"{'S1': 0.4718412718168929, 'S2': 0.1845250647613687, 'S3': 0.11597497544170082, 'S4': 0.7261465113928245, 'S5': 0.8035257522692321, 'eps': 0.0, 'h': 0.5}","{'S1': 0.3507863485263568, 'S2': 0.0, 'S3': 0.0, 'S4': 0.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.5691835511632871, 'S2': 0.41273700147733533, 'S3': 0.39648678819677463, 'S4': 1.0, 'S5': 1.0, 'eps': 0.0, 'h': 0.5}",[0.47184127 0.10882414 0.05256194 0.2775937  0.08756759 0.00161136],[0.35127561 0.         0.         0.         0.         0.        ],[0.56984178 0.27302115 0.19292199 0.40575273 0.2700818  0.00935818]
Macaca_radiata,"{'S1': 0.5470447281648774, 'S2': 0.02225194060303684, 'S3': 0.024619618856902385, 'S4': 0.9882990573120274, 'S5': 0.9329306127171578, 'eps': 0.0, 'h': 0.5}","{'S1': 0.4825004095660103, 'S2': 0.0, 'S3': 0.0, 'S4': 0.9381253356856387, 'S5': 0.4832738261238195, 'eps': 0.0, 'h': 0.5}","{'S1': 0.5689840145856172, 'S2': 0.15761799965274104, 'S3': 0.08537910092385081, 'S4': 1.0, 'S5': 1.0, 'eps': 0.0, 'h': 0.5}",[0.54704473 0.01162204 0.01114873 0.42515033 0.00503418 0.        ],[0.48262912 0.         0.         0.40124916 0.         0.        ],[0.5715899  0.09062213 0.04365523 0.44282311 0.03279225 0.        ]
Macaca_silenus,"{'S1': 0.46014104372449927, 'S2': 0.13646858895811478, 'S3': 0.004202295317983782, 'S4': 0.8036865615582803, 'S5': 0.9739976387989954, 'eps': 0.0, 'h': 0.5}","{'S1': 0.31940035087794866, 'S2': 0.0, 'S3': 0.0, 'S4': 0.553049926904062, 'S5': 0.9203506494165524, 'eps': 0.0, 'h': 0.5}","{'S1': 0.5427799741510324, 'S2': 0.3669310382497752, 'S3': 0.0, 'S4': 1.0, 'S5': 1.0, 'eps': 0.0, 'h': 0.5}","[4.60141044e-01 8.38454040e-02 2.13325713e-03 3.66705431e-01
 8.70302126e-02 1.44651680e-04]",[0.32005148 0.         0.         0.23462913 0.         0.        ],[0.54298777 0.27516308 0.00213326 0.46935861 0.19832791 0.00061489]
