population,params,params_ci_5,params_ci_95,discretized,discretized_ci_5,discretized_ci_95
Papio_cynocephalus_ssp,"{'S_d': -88143.79274073773, 'b': 0.09127208173632699, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.08862783397151959, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -35972.82635607048, 'b': 0.09890017933440727, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.54398781 0.08644753 0.07004281 0.29952185 0.         0.        ],[0.5332126  0.0844458  0.06883762 0.2939454  0.         0.        ],[0.55059314 0.09730606 0.0771596  0.30431234 0.         0.        ]
Papio_hamadryas,"{'S_d': -75005.82147265163, 'b': 0.08388442878942085, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.07867546090485675, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -15090.548527046654, 'b': 0.09652665705904898, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.50379933 0.08721967 0.0718234  0.3371576  0.         0.        ],[0.4792708  0.08203439 0.06844325 0.32955962 0.         0.        ],[0.51570753 0.10688386 0.08499633 0.34480677 0.         0.        ]
Papio_kindae,"{'S_d': -68774.93850620012, 'b': 0.09400225986962818, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.08794138381940757, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -17308.900820400646, 'b': 0.10618613429806259, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.53677716 0.0902088  0.07258334 0.3004307  0.         0.        ],[0.51966144 0.08431205 0.06884997 0.29366246 0.         0.        ],[0.54822816 0.10729852 0.08355494 0.30705385 0.         0.        ]
Papio_ursinus,"{'S_d': -98259.29263889517, 'b': 0.09102089368409211, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.0895633193922233, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -99368.11187954723, 'b': 0.09279664624421079, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.55008945 0.08506139 0.06897891 0.29587025 0.         0.        ],[0.54553325 0.08462206 0.06879446 0.2897744  0.         0.        ],[0.55651253 0.08607749 0.06967307 0.30077629 0.         0.        ]
Theropithecus_gelada,"{'S_d': -1165.6580606429948, 'b': 0.15034430297301393, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -2843.677579462213, 'b': 0.12759542089084908, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -388.01397175328054, 'b': 0.1753064427148383, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.41997368 0.16910817 0.12009563 0.29082252 0.         0.        ],[0.37180907 0.13505912 0.10111832 0.27759417 0.         0.        ],[0.46296023 0.21158083 0.14251895 0.30337942 0.         0.        ]
Erythrocebus_patas,"{'S_d': -97746.86650969062, 'b': 0.08536491119931817, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.08384644191138249, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -83306.51569277342, 'b': 0.08724342417351193, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.5292996  0.08398804 0.0690005  0.31771186 0.         0.        ],[0.52302188 0.08341427 0.06877125 0.31077069 0.         0.        ],[0.53627823 0.08632398 0.07063361 0.32370906 0.         0.        ]
Rhinopithecus_bieti,"{'S_d': -100000.0, 'b': 0.06974885628237931, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.0670211179898773, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.07316493951389394, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.46794322 0.07890239 0.06719504 0.38595936 0.         0.        ],[0.4561513  0.07778123 0.06665832 0.36946947 0.         0.        ],[0.48254395 0.08023424 0.067795   0.4004115  0.         0.        ]
Rhinopithecus_roxellana,"{'S_d': -100000.0, 'b': 0.09482153090954805, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.0926986898346738, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.097016275798469, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.5642418  0.0854558  0.06869644 0.28160596 0.         0.        ],[0.55697857 0.08515404 0.0685817  0.27403553 0.         0.        ],[0.57255038 0.08577446 0.06879278 0.28958321 0.         0.        ]
Semnopithecus_hypoleucos,"{'S_d': -52126.43034780843, 'b': 0.09740900976819708, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.08691070792352558, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -8626.64044557148, 'b': 0.11452776607675415, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.5259591  0.09535768 0.07604441 0.30263881 0.         0.        ],[0.50453523 0.0841363  0.06885212 0.29281958 0.         0.        ],[0.5415001  0.11929693 0.09104713 0.31159973 0.         0.        ]
Trachypithecus_francoisi,"{'S_d': -10558.28770330552, 'b': 0.09842106815381398, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -46064.529513501075, 'b': 0.07395083900184322, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -821.8048257417046, 'b': 0.1257748916843758, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.40888338 0.1201303  0.0953768  0.37560951 0.         0.        ],[0.36077027 0.08541483 0.07201173 0.35750798 0.         0.        ],[0.45570257 0.16357418 0.12278532 0.39300094 0.         0.        ]
Trachypithecus_poliocephalus,"{'S_d': -20103.714327418595, 'b': 0.08601958160273895, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -100000.0, 'b': 0.05946814471574157, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}","{'S_d': -363.86005297043175, 'b': 0.11637939224790042, 'p_b': 0.0, 'S_b': 1.0, 'eps': 0.0, 'h': 0.5}",[0.36759488 0.11416385 0.09301178 0.42522948 0.         0.        ],[0.29170951 0.07406056 0.06457951 0.40280281 0.         0.        ],[0.42365569 0.17441575 0.13303909 0.44508569 0.         0.        ]
