population,params,params_ci_5,params_ci_95,discretized,discretized_ci_5,discretized_ci_95
Pongo_pygmaeus,"{'S1': 0.2338010249131507, 'S2': 0.45544660937221104, 'S3': 0.05836055127710945, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.11813366141941732, 'S2': 0.1757839090473824, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.4309315348625249, 'S2': 0.5598744966986299, 'S3': 0.22910089036582298, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}",[0.23380102 0.35952736 0.02567763 0.38099399 0.         0.        ],[0.11822095 0.10215681 0.         0.35982095 0.         0.        ],[0.4360623  0.49840376 0.10819699 0.3956463  0.         0.        ]
Macaca_cyclopis,"{'S1': 0.5610680414328754, 'S2': 0.11967337272511029, 'S3': 0.052422112067966056, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.46542984018424166, 'S2': 0.0, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.6231098133558709, 'S2': 0.31182243815629523, 'S3': 0.15425332727466795, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}",[0.56106804 0.05867439 0.02057476 0.35968281 0.         0.        ],[0.46568571 0.         0.         0.34190405 0.         0.        ],[0.62424062 0.17375988 0.06248776 0.3743989  0.         0.        ]
Macaca_fuscata,"{'S1': 0.5782234537211738, 'S2': 0.021324041611501542, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.5339970588237717, 'S2': 0.0, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.5942239192341966, 'S2': 0.12303686208899257, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}",[0.57822345 0.00986764 0.         0.4119089  0.         0.        ],[0.53424581 0.         0.         0.40306652 0.         0.        ],[0.59547859 0.06388718 0.         0.41871658 0.         0.        ]
Macaca_mulatta,"{'S1': 0.4874717178481048, 'S2': 0.34012789049940617, 'S3': 0.0015701128818714335, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.4358256473411197, 'S2': 0.26395155021164, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.5357204453983662, 'S2': 0.40792726991628986, 'S3': 0.00011082473948884587, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}",[0.48747172 0.17567642 0.00054599 0.33630587 0.         0.        ],[0.43583947 0.12240542 0.         0.33103985 0.         0.        ],[0.53641408 0.23201667 0.00076219 0.3431089  0.         0.        ]
Macaca_hecki,"{'S1': 0.6021314943560697, 'S2': 0.047184720186582575, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.5566247245665454, 'S2': 0.0, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.6236872977694449, 'S2': 0.15650838885150872, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}",[0.60213149 0.02017494 0.         0.37769357 0.         0.        ],[0.55695597 0.         0.         0.37174844 0.         0.        ],[0.62516753 0.07309531 0.         0.38386288 0.         0.        ]
Macaca_leonina,"{'S1': 0.6190353124060701, 'S2': 0.0, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.6143506594218091, 'S2': 0.0, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.6251939426744662, 'S2': 0.0, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}",[0.61903531 0.         0.         0.38096469 0.         0.        ],[0.61439312 0.         0.         0.37481405 0.         0.        ],[0.62534587 0.         0.         0.38645615 0.         0.        ]
Macaca_maura,"{'S1': 0.59155055968792, 'S2': 0.011035930956688084, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.5595121002065182, 'S2': 0.0, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.6020157085602194, 'S2': 0.08153193264614592, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}",[0.59155056 0.00487015 0.         0.40357929 0.         0.        ],[0.55960961 0.         0.         0.39691467 0.         0.        ],[0.60273194 0.03881725 0.         0.40949192 0.         0.        ]
Macaca_nemestrina,"{'S1': 0.5847427858912961, 'S2': 0.1682544716145179, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.5425135423314353, 'S2': 0.04993048695616544, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.6316214651118488, 'S2': 0.26533914194661745, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}",[0.58474279 0.07162141 0.         0.3436358  0.         0.        ],[0.54276442 0.01847794 0.         0.33821598 0.         0.        ],[0.63165024 0.12262407 0.         0.35117896 0.         0.        ]
Macaca_nigra,"{'S1': 0.4868046174455048, 'S2': 0.18689514028839305, 'S3': 0.011472250878331511, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.3983381906265745, 'S2': 0.0, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.5735081860563425, 'S2': 0.3354244981961327, 'S3': 0.09167338581558893, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}",[0.48680462 0.10236094 0.00493467 0.40589978 0.         0.        ],[0.39911653 0.         0.         0.38979106 0.         0.        ],[0.57353425 0.20653288 0.04028372 0.41794459 0.         0.        ]
Macaca_radiata,"{'S1': 0.5477410414143613, 'S2': 0.018942363187869845, 'S3': 0.02461960551780987, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.48986900234874825, 'S2': 0.0, 'S3': 0.0, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}","{'S1': 0.5678391289682525, 'S2': 0.14044758903073884, 'S3': 0.08537901871247258, 'S4': 1.0, 'S5': 0.0, 'eps': 0.0, 'h': 0.5}",[0.54774104 0.00992388 0.01114872 0.43118636 0.         0.        ],[0.49025004 0.         0.         0.41507868 0.         0.        ],[0.56884687 0.08113028 0.04365531 0.44369457 0.         0.        ]
