,ID,Genus,Species,FROH,Sex,Reference,Name,Population
335,PD_0738,Papio,anubis,0.05250171,F,Papio_anubis,Papio_anubis,Papio_anubis
336,PD_0739,Papio,anubis,0.02779898,M,Papio_anubis,Papio_anubis,Papio_anubis
337,PD_0740,Papio,anubis,0.02914518,M,Papio_anubis,Papio_anubis,Papio_anubis
338,PD_0741,Papio,anubis,0.0177025,M,Papio_anubis,Papio_anubis,Papio_anubis
339,PD_0742,Papio,anubis,0.04193406,M,Papio_anubis,Papio_anubis,Papio_anubis
340,PD_0743,Papio,anubis,0.06704065,M,Papio_anubis,Papio_anubis,Papio_anubis
341,PD_0744,Papio,anubis,0.02261612,F,Papio_anubis,Papio_anubis,Papio_anubis
342,PD_0745,Papio,cynocephalus,0.02174109,F,Papio_anubis,Papio_cynocephalus,Papio_cynocephalus
343,PD_0746,Papio,cynocephalus,0.0231546,M,Papio_anubis,Papio_cynocephalus,Papio_cynocephalus
344,PD_0747,Papio,cynocephalus,0.02362577,M,Papio_anubis,Papio_cynocephalus,Papio_cynocephalus
345,PD_0748,Papio,cynocephalus,0.03587617,M,Papio_anubis,Papio_cynocephalus,Papio_cynocephalus
346,PD_0749,Papio,kindae,0.01642361,M,Papio_anubis,Papio_kindae,Papio_kindae
347,PD_0750,Papio,kindae,0.04469377,M,Papio_anubis,Papio_kindae,Papio_kindae
348,PD_0751,Papio,kindae,0.03715506,M,Papio_anubis,Papio_kindae,Papio_kindae
349,PD_0752,Papio,cynocephalus,0.02887594,M,Papio_anubis,Papio_cynocephalus,Papio_cynocephalus
350,PD_0753,Papio,cynocephalus,0.02429887,M,Papio_anubis,Papio_cynocephalus,Papio_cynocephalus
351,PD_0754,Papio,cynocephalus,0.03580886,F,Papio_anubis,Papio_cynocephalus,Papio_cynocephalus
352,PD_0755,Papio,cynocephalus,0.01898139,M,Papio_anubis,Papio_cynocephalus,Papio_cynocephalus
353,PD_0756,Papio,cynocephalus,0.02120262,M,Papio_anubis,Papio_cynocephalus,Papio_cynocephalus
354,PD_0757,Papio,cynocephalus,0.0177025,M,Papio_anubis,Papio_cynocephalus,Papio_cynocephalus
355,PD_0758,Papio,kindae,0.0544537,M,Papio_anubis,Papio_kindae,Papio_kindae
356,PD_0759,Papio,kindae,0.0203949,M,Papio_anubis,Papio_kindae,Papio_kindae
357,PD_0760,Papio,kindae,0.03621272,F,Papio_anubis,Papio_kindae,Papio_kindae
358,PD_0761,Papio,cynocephalus,0.01110613,M,Papio_anubis,Papio_cynocephalus,Papio_cynocephalus
359,PD_0762,Papio,cynocephalus,0.03251068,M,Papio_anubis,Papio_cynocephalus,Papio_cynocephalus
