neutral.Homo_sapiens,selected.Homo_sapiens,neutral.Pan_troglodytes,selected.Pan_troglodytes,neutral.Pan_paniscus,selected.Pan_paniscus,neutral.Pan_troglodytes_ellioti,selected.Pan_troglodytes_ellioti,neutral.Pan_troglodytes_schweinfurthii,selected.Pan_troglodytes_schweinfurthii,neutral.Pan_troglodytes_troglodytes,selected.Pan_troglodytes_troglodytes,neutral.Pan_troglodytes_verus,selected.Pan_troglodytes_verus,neutral.Gorilla_gorilla,selected.Gorilla_gorilla,neutral.Gorilla_beringei,selected.Gorilla_beringei,neutral.Gorilla_gorilla_gorilla,selected.Gorilla_gorilla_gorilla,neutral.Pongo_pygmaeus,selected.Pongo_pygmaeus,neutral.Macaca_fuscata,selected.Macaca_fuscata,neutral.Macaca_mulatta,selected.Macaca_mulatta,neutral.Macaca_nemestrina,selected.Macaca_nemestrina,neutral.Macaca_radiata,selected.Macaca_radiata,neutral.Macaca_silenus,selected.Macaca_silenus,neutral.Macaca_arctoides,selected.Macaca_arctoides,neutral.Papio_anubis,selected.Papio_anubis,neutral.Papio_cynocephalus_ssp,selected.Papio_cynocephalus_ssp,neutral.Papio_cynocephalus,selected.Papio_cynocephalus,neutral.Papio_hamadryas,selected.Papio_hamadryas,neutral.Papio_kindae,selected.Papio_kindae,neutral.Papio_papio,selected.Papio_papio,neutral.Theropithecus_gelada,selected.Theropithecus_gelada,neutral.Rhinopithecus_bieti,selected.Rhinopithecus_bieti,neutral.Rhinopithecus_roxellana,selected.Rhinopithecus_roxellana,neutral.Trachypithecus_poliocephalus,selected.Trachypithecus_poliocephalus
451.123523358562,586.8274333546607,640.725461220752,909.008209518687,211.25307488344936,342.0429121204918,102.0,184.0,817.0228616874567,1061.4260134653891,686.9615527873594,927.8409304948204,423.4511380078336,624.0090133345622,938.6493678465037,1274.4008093429045,768.4631284674113,1117.9379186303136,967.7011078414622,1304.4127118228869,990.1625701967142,1206.3568987399356,553.5460264906777,735.5382131465847,430.0689227696842,469.4882597717354,180.1059301255524,201.87430461297785,138.9248447204968,193.20662525879905,559.1740387998647,897.5489284287901,873.9999999999999,953.0,182.26055546004133,235.7472051576856,257.9777478862111,301.8943659569084,1470.6227209333265,1764.249004262776,180.60318645515736,233.5011746498588,272.4043863474538,311.1996048063553,90.50832758224036,153.5558316080053,611.9532507689572,772.8413617504126,348.6683829893246,575.5458430657561,367.8703435173914,506.6537194970858,477.784679089035,873.440993788861
421.1389164388132,536.8510488876151,653.9728266912656,909.1313654096094,191.4898644475548,305.870358478567,85.3555034995079,110.39200550317764,697.6674055297334,890.6665520565526,584.2383475104615,769.446688641118,379.1186177250536,554.0143638194047,832.3895777559633,1129.196055057074,726.8875521100879,1017.6450558509788,866.636870814177,1145.5588678115128,905.9316458981732,1126.8962014346023,493.059244552673,656.0297198592833,376.9547662057289,411.15785383261857,149.7525208955863,168.0744648707698,118.44354886083995,152.5714278085932,450.8854323720122,683.7328258117448,689.8821043968201,742.9089441299438,152.90519923064045,198.3463354263824,229.1392476086106,259.33939986466646,1297.433216443823,1528.1862309446608,164.8409135388584,204.3194792691477,220.4091921662072,254.13530471515384,67.77986593625755,111.15777961164632,566.7320752129347,694.5501558402323,303.6667725512249,479.8163205596535,308.7873803338077,418.97319396636175,390.036109027083,628.4391191265265
392.3417923342526,494.9558055458378,663.383707352149,901.0438926374228,172.04002662424182,270.24457686697565,76.56762903928757,99.20322686433792,589.8367587655897,725.8119711105695,504.7556636212609,629.6152034277924,343.0727371526444,495.1309164508645,747.6143275596199,1011.1077474734392,688.8313018055883,932.6585980931388,782.0342378185103,1027.032370042382,847.3154343516762,1021.3222326412316,441.72441268725794,576.1424784253762,336.72662437582073,364.1577296304788,125.231681030382,139.38880812914422,111.22212545403596,134.0215848089602,366.7032958723093,519.4475916464661,653.8449807167053,726.8579880595207,125.57953565923374,159.870482658979,202.2957184616459,217.3974533735097,1139.3461928385902,1286.0303710254202,148.72100849785966,176.23363914159896,187.2160812257409,204.71874734980815,53.46598644232078,73.92003732373992,522.8627218340159,617.3827842077236,271.31860771419804,392.8656326127089,257.327107773194,341.77478548850024,437.8973677143407,559.7843505957366
361.3913950501143,455.588021326563,651.2240250446889,863.5865142462583,157.22251683209123,239.1974043655013,61.82099074125289,86.88975620269774,507.97513455226,605.0282453873372,439.6097221820023,532.9853076045653,316.63190187153725,462.8717067251544,681.835394395687,914.1750062428252,644.966462466607,853.5769416191431,695.6295673909309,924.8371754110714,809.6105224318133,940.27853818522,399.0583015311236,507.22021989655417,305.21072540853544,326.685931501617,105.5649912657212,116.9645008924124,115.1178826168413,129.04831949301277,313.65602415016343,423.7905331510578,659.6905319094657,682.7508759498595,102.17011776996782,126.92270731915552,179.27227929940122,183.2797332973291,1013.8920858106904,1084.374159746298,136.5793673816482,154.2206744235093,161.55194614640934,168.4770018664884,46.14493346798675,57.29639965368487,496.3913021499269,558.2567595952042,236.71912583174887,320.3655847699753,214.6572144044276,279.1254175212419,459.8650208705195,569.3780232837369
330.5665897786286,422.234196552806,613.5042333220865,794.9367654461031,150.81972336514875,222.0934992015236,84.4592495560646,96.20620757341383,434.0254976058985,531.3575549150002,384.9295537637831,466.051973045732,300.2293968840346,433.4627326863291,630.8974977111978,834.837929667271,598.5589341243028,783.8128488184203,632.8375683747909,837.2381938791509,757.7047136044488,876.3961324905599,366.9055580649191,456.5516731783285,278.71878105566884,297.0346234450868,90.59386734063708,101.65196099610604,111.77936433593182,117.53753337105957,281.6441830511288,372.9703289025837,658.2609732747078,690.4435459971428,84.58882603634956,102.55989553407096,161.64254431290962,160.51303631151265,929.3082412637212,943.9708307699414,128.11229713195485,140.95792894067625,143.03777264512334,146.53075802197722,39.214545817108224,49.58734421522566,480.5354720089204,517.7830441596689,206.56659156927824,277.3182788089484,179.51537503946352,232.0465402632389,342.5895871826593,440.9726945216335
303.84067347431335,392.6665106636995,559.1146894341997,710.1412408390562,140.37296630881954,216.9488108729488,50.84849506616592,70.13182437419891,378.3331240833805,496.4411932741637,343.7358217367038,429.2960568758826,286.1936021279062,419.8056780635029,587.8015521064679,771.2280060608248,551.1715864842247,721.3596212340475,571.1212879244252,754.1701920349319,683.2400573748603,824.1653905442506,342.4857463712776,418.4009707935125,254.01403287675552,273.4930169993302,77.4512482533397,89.31156104131088,103.81600388387066,108.68339307239918,260.9903944437597,323.4726158791373,691.5619028806686,671.5550935864449,72.27228462823892,85.1907139623876,150.32132376975215,147.4876359690213,882.180848885371,862.7069067327313,122.21656445225685,131.89099116411344,128.5854501242757,130.65202528857304,32.45447331573046,44.304166735050245,460.3775605672385,483.477750041874,185.3074911742496,244.6732688077873,151.61051456030148,196.13290709735855,203.3611679353214,271.7089778677005
280.40243105140576,361.5838677027931,502.23190653414895,628.3367880496093,139.16207580996075,204.71970944461344,47.90899312496185,92.9882220029831,350.07155317173084,451.4281920232174,319.6162739391708,398.388057594303,287.8829367896555,408.6823049445836,543.9928160190811,710.6387865248556,498.77303115188766,660.153107211268,514.7067811359439,687.3324927741536,632.7358902486693,749.7254420071617,322.4071842210783,389.22634832640347,229.09348517183872,252.8907448169601,65.57548206037487,77.00973547898386,92.98272940849836,110.41895875124636,242.2485927752532,285.1558196364563,1288.7842804193497,1313.792432487011,62.55685389228318,71.04516359673109,145.59388220535172,141.18701640083924,863.9750910007864,829.8812202693024,118.40349906205662,127.19465482575886,117.55750882256405,116.9957013986719,30.62407946686612,41.53679930832241,426.8103229015926,436.9443111104012,165.9710889399847,212.3364588883294,128.89054508472307,168.8114402062402,159.8293449509791,231.32627084804665
254.26316370014308,326.97857897210645,453.39388552486673,561.2816287843094,126.9164141530854,186.46679738693652,46.49284255504608,63.99906134605408,324.7254621076379,418.8891474590119,287.4582351778207,365.53776767757006,296.1524323695482,402.2360696043136,492.3399359298557,643.471142646949,433.0229530244492,579.1067214489905,461.7373648123964,617.0189714198694,586.705360115634,699.0450543512192,303.5451706587192,362.2249441883373,203.78825627231535,231.9882190773577,55.32837194218612,65.07861587113139,79.01828437411368,95.58065836285898,215.6799576685304,251.43422471551187,443.68726229667664,442.2752106189727,52.35760995587551,57.44231530955318,147.2892723263003,140.40281546873416,865.9649103442569,836.3572764349544,113.44498029943968,121.52489210063696,105.68627803630883,103.88724674057788,30.391039502581663,40.64665484376377,369.4771364055662,379.62507252198975,148.9073655114542,178.1632432569582,104.85842140730972,143.26110197175916,132.30751975383194,189.9027050422354
223.64660324912668,291.6419583669116,415.5466645891567,512.6541746918417,125.25700266366742,176.304258368776,50.13029742240906,60.82268476486206,300.74362783436527,392.0196598205476,262.72004670096044,342.5074848912726,299.6348819573733,409.7022879055982,427.2592313863691,558.8367289053483,352.5503321801543,478.4309165080825,405.9813256165734,531.974276736927,498.8156732732837,585.282225204108,280.5905459984492,330.8047098183501,178.48946597712816,207.26452521430076,46.67037383132463,54.136869383078086,76.51628853853697,88.19621945974683,177.59516905033647,209.3790794132735,339.18714749813074,351.6544432640075,39.94525282169794,43.933415264198175,154.97249431077935,146.81843147518734,874.1724853069045,864.6808483054384,103.3556412784847,111.18933084070758,90.72262476669374,86.96635908553631,30.803659508442653,40.913687190527085,308.46941835684976,317.627427613956,133.776622043448,146.12785881411796,78.77054959215468,112.7133889943046,116.87061068084957,168.9783366533025
180.6725505665096,246.5111707010238,408.5863973947431,500.83995779559024,110.59344741219188,191.4691856635586,55.612925350666046,66.45424401760101,288.53445111953823,374.63679053626953,247.48962070398488,321.3373320383102,588.4149773116756,790.3045796109296,341.00572480680887,460.9090425351959,246.66231554013308,345.14510228330033,322.91817158415546,438.63664845983385,434.0781252214806,566.8757327291227,241.378923046688,280.7705535645865,150.87586610779965,173.22508058072364,36.84979114014318,43.06657419422347,121.4166407911649,134.8793328934624,126.98512921411891,146.9031967832802,237.49697303771973,241.5210015773773,25.51264293368903,30.567574666713316,165.5714760185032,161.1868407824688,830.0834055744949,842.5686172716337,84.15853617166702,91.54830199563128,68.06110837541262,65.48239368771644,23.61064149042823,28.934089223057565,245.3122779887809,246.65259248600825,114.98323422012083,112.74143924671432,51.45492013720109,74.45187768958392,79.67589962831917,108.53948377374344
