sample,population
SAMN12714421,Gorilla_gorilla
SAMN35877944,Gorilla_gorilla
SAMN35877945,Gorilla_gorilla
PD_0180,Gorilla_gorilla
PD_0181,Gorilla_gorilla
PD_0182,Gorilla_gorilla
PD_0183,Gorilla_gorilla
PD_0184,Gorilla_gorilla
PD_0185,Gorilla_gorilla
PD_0186,Gorilla_gorilla
PD_0187,Gorilla_gorilla
PD_0188,Gorilla_gorilla
PD_0189,Gorilla_gorilla
PD_0190,Gorilla_gorilla
PD_0191,Gorilla_gorilla
PD_0192,Gorilla_gorilla
PD_0193,Gorilla_gorilla
PD_0194,Gorilla_gorilla
PD_0195,Gorilla_gorilla
PD_0196,Gorilla_gorilla
PD_0197,Gorilla_gorilla
PD_0198,Gorilla_gorilla
PD_0260,Gorilla_gorilla
PD_0264,Gorilla_gorilla
SAMEA2697037,Gorilla_beringei
SAMEA2697038,Gorilla_beringei
SAMEA2697039,Gorilla_beringei
SAMEA2697040,Gorilla_beringei
SAMEA2697041,Gorilla_beringei
SAMEA2697042,Gorilla_beringei
SAMN01920473,Gorilla_beringei
SAMN01920474,Gorilla_beringei
SAMN01920475,Gorilla_beringei
PD_0179,Gorilla_beringei
SAMEA1692350,Gorilla_beringei
SAMEA1692351,Gorilla_beringei
SAMEA1692352,Gorilla_beringei
SAMEA1692353,Gorilla_beringei
SAMEA1692354,Gorilla_beringei
SAMEA1692355,Gorilla_beringei
SAMEA3939556,Gorilla_beringei
SAMEA3939557,Gorilla_beringei
SAMEA3939558,Gorilla_beringei
SAMEA3939560,Gorilla_beringei
SAMEA3939561,Gorilla_beringei
SAMEA3991715,Gorilla_beringei
SAMEA2697037,Gorilla_beringei_beringei
SAMEA2697038,Gorilla_beringei_beringei
SAMEA2697039,Gorilla_beringei_beringei
SAMEA3939556,Gorilla_beringei_beringei
SAMEA3939557,Gorilla_beringei_beringei
SAMEA3939558,Gorilla_beringei_beringei
SAMEA3939560,Gorilla_beringei_beringei
SAMEA3939561,Gorilla_beringei_beringei
SAMEA3991715,Gorilla_beringei_beringei
SAMEA2697040,Gorilla_beringei_graueri
SAMEA2697041,Gorilla_beringei_graueri
SAMEA2697042,Gorilla_beringei_graueri
SAMN01920473,Gorilla_beringei_graueri
SAMN01920474,Gorilla_beringei_graueri
SAMN01920475,Gorilla_beringei_graueri
SAMEA5204233,Gorilla_gorilla_gorilla
SAMEA5204234,Gorilla_gorilla_gorilla
SAMEA5204235,Gorilla_gorilla_gorilla
SAMEA5204236,Gorilla_gorilla_gorilla
SAMEA5204237,Gorilla_gorilla_gorilla
SAMEA5204238,Gorilla_gorilla_gorilla
SAMEA868692,Gorilla_gorilla_gorilla
SAMN01920477,Gorilla_gorilla_gorilla
SAMN01920478,Gorilla_gorilla_gorilla
SAMN01920479,Gorilla_gorilla_gorilla
SAMN01920480,Gorilla_gorilla_gorilla
SAMN01920481,Gorilla_gorilla_gorilla
SAMN01920482,Gorilla_gorilla_gorilla
SAMN01920483,Gorilla_gorilla_gorilla
SAMN01920484,Gorilla_gorilla_gorilla
SAMN01920485,Gorilla_gorilla_gorilla
SAMN01920486,Gorilla_gorilla_gorilla
SAMN01920487,Gorilla_gorilla_gorilla
SAMN01920488,Gorilla_gorilla_gorilla
SAMN01920489,Gorilla_gorilla_gorilla
SAMN01920490,Gorilla_gorilla_gorilla
SAMN01920491,Gorilla_gorilla_gorilla
SAMN01920492,Gorilla_gorilla_gorilla
SAMN01920493,Gorilla_gorilla_gorilla
SAMN01920494,Gorilla_gorilla_gorilla
SAMN01920495,Gorilla_gorilla_gorilla
SAMN01920496,Gorilla_gorilla_gorilla
SAMN01920497,Gorilla_gorilla_gorilla
SAMN01920498,Gorilla_gorilla_gorilla
SAMN01920499,Gorilla_gorilla_gorilla
SAMN01920500,Gorilla_gorilla_gorilla
SAMN01920501,Gorilla_gorilla_gorilla
SAMN01920502,Gorilla_gorilla_gorilla
SAMN01920503,Gorilla_gorilla_gorilla
SAMN04003007,Gorilla_gorilla_gorilla
SAMN12714420,Gorilla_gorilla_gorilla
SAMN12714421,Gorilla_gorilla_gorilla
SAMN35877944,Gorilla_gorilla_gorilla
SAMN35877945,Gorilla_gorilla_gorilla
SAMN01920476,Gorilla_gorilla_diehli
SAMN01920542,Pongo_abelii
SAMN01920543,Pongo_abelii
SAMN01920544,Pongo_abelii
SAMN01920545,Pongo_abelii
SAMN01920546,Pongo_abelii
SAMN06275555,Pongo_abelii
SAMN10521808,Pongo_abelii
SAMN13178754,Pongo_abelii
SAMEA104361533,Pongo_pygmaeus
SAMEA104361534,Pongo_pygmaeus
SAMEA104361535,Pongo_pygmaeus
SAMEA104361536,Pongo_pygmaeus
SAMEA104361537,Pongo_pygmaeus
SAMEA104361538,Pongo_pygmaeus
SAMEA104361539,Pongo_pygmaeus
SAMEA104361540,Pongo_pygmaeus
SAMEA104361541,Pongo_pygmaeus
SAMEA104361542,Pongo_pygmaeus
PD_0262,Pongo_pygmaeus
SAMN00007164,Pongo_pygmaeus
SAMN01920547,Pongo_pygmaeus
SAMN01920548,Pongo_pygmaeus
SAMN01920549,Pongo_pygmaeus
SAMN01920550,Pongo_pygmaeus
SAMN01920551,Pongo_pygmaeus
SAMN10521809,Pongo_pygmaeus
SAMN12714422,Pongo_pygmaeus
SAMN12714423,Pongo_pygmaeus
SAMD00215312,Macaca_cyclopis
SAMN12512033,Macaca_cyclopis
SAMN15061836,Macaca_cyclopis
SAMN19736174,Macaca_cyclopis
SAMD00215311,Macaca_fuscata_fuscata
SAMD00215311,Macaca_fuscata
SAMD00589946,Macaca_fuscata
SAMD00589947,Macaca_fuscata
SAMD00589948,Macaca_fuscata
SAMD00589949,Macaca_fuscata
SAMD00589950,Macaca_fuscata
SAMD00589951,Macaca_fuscata
SAMD00589952,Macaca_fuscata
SAMD00589953,Macaca_fuscata
SAMD00589954,Macaca_fuscata
SAMD00589955,Macaca_fuscata
SAMD00589956,Macaca_fuscata
SAMD00589957,Macaca_fuscata
SAMD00589958,Macaca_fuscata
SAMD00589959,Macaca_fuscata
SAMD00589960,Macaca_fuscata
SAMD00589961,Macaca_fuscata
SAMD00589962,Macaca_fuscata
SAMD00589963,Macaca_fuscata
SAMD00589964,Macaca_fuscata
SAMD00589965,Macaca_fuscata
SAMD00589966,Macaca_fuscata
SAMD00589967,Macaca_fuscata
SAMD00589968,Macaca_fuscata
SAMD00589969,Macaca_fuscata
SAMD00589970,Macaca_fuscata
SAMD00589971,Macaca_fuscata
SAMD00589972,Macaca_fuscata
SAMD00589973,Macaca_fuscata
SAMD00589974,Macaca_fuscata
SAMD00589975,Macaca_fuscata
SAMD00589976,Macaca_fuscata
SAMD00589977,Macaca_fuscata
SAMD00589978,Macaca_fuscata
SAMD00589979,Macaca_fuscata
SAMD00589980,Macaca_fuscata
SAMD00589981,Macaca_fuscata
SAMD00589982,Macaca_fuscata
SAMD00589983,Macaca_fuscata
SAMD00589984,Macaca_fuscata
SAMD00589985,Macaca_fuscata
SAMD00589986,Macaca_fuscata
SAMD00589987,Macaca_fuscata
SAMD00589988,Macaca_fuscata
SAMD00589989,Macaca_fuscata
SAMD00589990,Macaca_fuscata
SAMD00589991,Macaca_fuscata
SAMD00589992,Macaca_fuscata
SAMD00589993,Macaca_fuscata
SAMD00589994,Macaca_fuscata
SAMD00589995,Macaca_fuscata
SAMD00589996,Macaca_fuscata
SAMD00589997,Macaca_fuscata
SAMD00589998,Macaca_fuscata
SAMD00589999,Macaca_fuscata
SAMD00590000,Macaca_fuscata
SAMD00590001,Macaca_fuscata
SAMD00590002,Macaca_fuscata
SAMD00590003,Macaca_fuscata
SAMD00590004,Macaca_fuscata
SAMD00590005,Macaca_fuscata
SAMD00590006,Macaca_fuscata
SAMD00590007,Macaca_fuscata
SAMD00590008,Macaca_fuscata
SAMD00590009,Macaca_fuscata
SAMN15061837,Macaca_fuscata
SAMN19736175,Macaca_fuscata
PD_0261,Macaca_mulatta
PD_0546,Macaca_mulatta
PD_0547,Macaca_mulatta
PD_0548,Macaca_mulatta
PD_0549,Macaca_mulatta
PD_0550,Macaca_mulatta
PD_0551,Macaca_mulatta
SAMEA2058376,Macaca_mulatta
SAMEA2058377,Macaca_mulatta
SAMEA2058378,Macaca_mulatta
SAMEA2058379,Macaca_mulatta
SAMEA2058380,Macaca_mulatta
SAMN02671004,Macaca_mulatta
SAMN03200170,Macaca_mulatta
SAMN03200171,Macaca_mulatta
SAMN03200172,Macaca_mulatta
SAMN03200173,Macaca_mulatta
SAMN03200174,Macaca_mulatta
SAMN03200175,Macaca_mulatta
SAMN03200176,Macaca_mulatta
SAMN03200177,Macaca_mulatta
SAMN03200178,Macaca_mulatta
SAMN03200179,Macaca_mulatta
SAMN03200180,Macaca_mulatta
SAMN03200181,Macaca_mulatta
SAMN03200182,Macaca_mulatta
SAMN03200183,Macaca_mulatta
SAMN03200184,Macaca_mulatta
SAMN03200185,Macaca_mulatta
SAMN03200186,Macaca_mulatta
SAMN03200187,Macaca_mulatta
SAMN03200188,Macaca_mulatta
SAMN03200189,Macaca_mulatta
SAMN03200191,Macaca_mulatta
SAMN03200192,Macaca_mulatta
SAMN05607908,Macaca_mulatta
SAMN05607911,Macaca_mulatta
SAMN05607914,Macaca_mulatta
SAMN05607915,Macaca_mulatta
SAMN05607916,Macaca_mulatta
SAMN05607917,Macaca_mulatta
SAMN05607918,Macaca_mulatta
SAMN05607921,Macaca_mulatta
SAMN05607923,Macaca_mulatta
SAMN05660059,Macaca_mulatta
SAMN05660060,Macaca_mulatta
SAMN05660061,Macaca_mulatta
SAMN05660062,Macaca_mulatta
SAMN05660063,Macaca_mulatta
SAMN05660064,Macaca_mulatta
SAMN05660065,Macaca_mulatta
SAMN05660066,Macaca_mulatta
SAMN05660067,Macaca_mulatta
SAMN05660068,Macaca_mulatta
SAMN05660069,Macaca_mulatta
SAMN05660070,Macaca_mulatta
SAMN05883679,Macaca_mulatta
SAMN05883682,Macaca_mulatta
SAMN05883688,Macaca_mulatta
SAMN05883689,Macaca_mulatta
SAMN05883690,Macaca_mulatta
SAMN05883691,Macaca_mulatta
SAMN05883692,Macaca_mulatta
SAMN05883693,Macaca_mulatta
SAMN05883695,Macaca_mulatta
SAMN05883696,Macaca_mulatta
SAMN05883697,Macaca_mulatta
SAMN05883701,Macaca_mulatta
SAMN05883702,Macaca_mulatta
SAMN05883703,Macaca_mulatta
SAMN05883704,Macaca_mulatta
SAMN05883705,Macaca_mulatta
SAMN05883706,Macaca_mulatta
SAMN05883709,Macaca_mulatta
SAMN05883711,Macaca_mulatta
SAMN05883713,Macaca_mulatta
SAMN05883716,Macaca_mulatta
SAMN05883717,Macaca_mulatta
SAMN05883718,Macaca_mulatta
SAMN05883719,Macaca_mulatta
SAMN05883720,Macaca_mulatta
SAMN05883721,Macaca_mulatta
SAMN05883726,Macaca_mulatta
SAMN05883727,Macaca_mulatta
SAMN05883728,Macaca_mulatta
SAMN05883729,Macaca_mulatta
SAMN05883730,Macaca_mulatta
SAMN05883731,Macaca_mulatta
SAMN05883732,Macaca_mulatta
SAMN05883733,Macaca_mulatta
SAMN05883734,Macaca_mulatta
SAMN05883735,Macaca_mulatta
SAMN05883736,Macaca_mulatta
SAMN05883740,Macaca_mulatta
SAMN05883741,Macaca_mulatta
SAMN05883744,Macaca_mulatta
SAMN05883746,Macaca_mulatta
SAMN05883747,Macaca_mulatta
SAMN06016319,Macaca_mulatta
SAMN30881664,Macaca_mulatta
SAMN35364812,Macaca_mulatta
SAMN35364815,Macaca_mulatta
SAMN35364818,Macaca_mulatta
SAMN35364830,Macaca_mulatta
SAMN36494034,Macaca_mulatta
SAMN38317304,Macaca_mulatta
SAMN38317305,Macaca_mulatta
SAMN38317306,Macaca_mulatta
SAMN38317307,Macaca_mulatta
SAMN38317308,Macaca_mulatta
SAMN38317420,Macaca_mulatta
SAMN38317421,Macaca_mulatta
SAMN38317422,Macaca_mulatta
SAMN38317423,Macaca_mulatta
SAMN38317424,Macaca_mulatta
SAMN38317425,Macaca_mulatta
SAMN38317426,Macaca_mulatta
SAMN38317427,Macaca_mulatta
SAMN38317428,Macaca_mulatta
SAMN38317429,Macaca_mulatta
SAMN38317430,Macaca_mulatta
SAMN38317431,Macaca_mulatta
SAMN38317432,Macaca_mulatta
SAMN38317433,Macaca_mulatta
SAMN38317434,Macaca_mulatta
SAMN38317435,Macaca_mulatta
SAMN38317436,Macaca_mulatta
SAMN38317437,Macaca_mulatta
SAMN38317438,Macaca_mulatta
SAMN38317439,Macaca_mulatta
SAMN38317440,Macaca_mulatta
SAMN38317441,Macaca_mulatta
SAMN38317442,Macaca_mulatta
SAMN38317443,Macaca_mulatta
SAMN38317444,Macaca_mulatta
SAMN38317445,Macaca_mulatta
SAMN38317446,Macaca_mulatta
SAMN38317447,Macaca_mulatta
SAMN38317448,Macaca_mulatta
SAMN38317449,Macaca_mulatta
SAMN41979541,Macaca_mulatta
SAMN41979544,Macaca_mulatta
SAMN41979545,Macaca_mulatta
SAMN41979551,Macaca_mulatta
SAMN41979552,Macaca_mulatta
SAMN41979554,Macaca_mulatta
SAMN41979570,Macaca_mulatta
SAMN41979574,Macaca_mulatta
SAMN41979591,Macaca_mulatta
SAMN41979597,Macaca_mulatta
SAMN41979604,Macaca_mulatta
SAMN41979605,Macaca_mulatta
SAMN41979609,Macaca_mulatta
SAMN41979616,Macaca_mulatta
SAMN41979627,Macaca_mulatta
SAMN41979634,Macaca_mulatta
SAMN41979635,Macaca_mulatta
SAMN41979649,Macaca_mulatta
SAMN41979651,Macaca_mulatta
SAMN41979661,Macaca_mulatta
SAMN41979672,Macaca_mulatta
SAMN41979681,Macaca_mulatta
SAMN41979682,Macaca_mulatta
SAMN41979685,Macaca_mulatta
SAMN41979691,Macaca_mulatta
SAMN41979696,Macaca_mulatta
SAMN41979710,Macaca_mulatta
SAMN42715008,Macaca_mulatta
SAMN15061835,Macaca_sylvanus
SAMN19736189,Macaca_sylvanus
SAMN07508135,Macaca_brunnescens
SAMN07508136,Macaca_hecki
SAMN07508137,Macaca_hecki
SAMN07508138,Macaca_hecki
SAMN18570967,Macaca_hecki
SAMN18570968,Macaca_hecki
PD_0097,Macaca_leonina
PD_0540,Macaca_leonina
PD_0541,Macaca_leonina
PD_0542,Macaca_leonina
PD_0543,Macaca_leonina
PD_0544,Macaca_leonina
PD_0545,Macaca_leonina
PD_0070,Macaca_maura
SAMN07508142,Macaca_maura
SAMN07508143,Macaca_maura
SAMN07508144,Macaca_maura
SAMN07508145,Macaca_maura
SAMN07508146,Macaca_maura
SAMN19736186,Macaca_maura
SAMN07503410,Macaca_nemestrina_nemestrina
SAMN07508148,Macaca_nemestrina_nemestrina
SAMN07508151,Macaca_nemestrina_nemestrina
SAMN07508153,Macaca_nemestrina_nemestrina
SAMN07508154,Macaca_nemestrina_nemestrina
SAMN07503410,Macaca_nemestrina
SAMN07508148,Macaca_nemestrina
SAMN07508151,Macaca_nemestrina
SAMN07508153,Macaca_nemestrina
SAMN07508154,Macaca_nemestrina
SAMN02922335,Macaca_nemestrina
SAMN02922336,Macaca_nemestrina
SAMN02922337,Macaca_nemestrina
SAMN02922338,Macaca_nemestrina
SAMN02922339,Macaca_nemestrina
SAMN02922340,Macaca_nemestrina
SAMN03121842,Macaca_nemestrina
SAMN10499710,Macaca_nemestrina
SAMN10499711,Macaca_nemestrina
SAMN10499712,Macaca_nemestrina
SAMN10499713,Macaca_nemestrina
SAMN10499714,Macaca_nemestrina
SAMN10499715,Macaca_nemestrina
SAMN10499716,Macaca_nemestrina
SAMN10499717,Macaca_nemestrina
SAMN10499718,Macaca_nemestrina
SAMN10499719,Macaca_nemestrina
SAMN10499720,Macaca_nemestrina
SAMN10499721,Macaca_nemestrina
SAMN18570964,Macaca_nemestrina
SAMN19736185,Macaca_nemestrina
SAMN07503430,Macaca_nigra
SAMN07508155,Macaca_nigra
SAMN07508156,Macaca_nigra
SAMN19736188,Macaca_nigra
SAMN07508157,Macaca_nigrescens
SAMN18570966,Macaca_nigrescens
PD_0552,Macaca_radiata
PD_0553,Macaca_radiata
PD_0554,Macaca_radiata
PD_0555,Macaca_radiata
